epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3468,2.29313,5.04002,0.00681,0.01867,0.78249,0.14799,0.05638,1.4874,4.76147,0.00454,0.000328889,0.000328889,0.000328889
2,47.1135,1.47127,3.17518,0.00383,0.52441,0.63351,0.5672,0.2714,1.46565,3.37762,0.00433,0.000640369,0.000640369,0.000640369
3,61.648,1.38057,2.53035,0.00361,0.70516,0.67796,0.76171,0.46011,1.20883,2.52317,0.00375,0.000929849,0.000929849,0.000929849
4,76.3184,1.35199,2.15983,0.00353,0.61795,0.55777,0.51469,0.13158,2.47856,3.16318,0.00744,0.000901,0.000901,0.000901
5,90.8159,1.28851,1.80014,0.00338,0.83633,0.82461,0.91047,0.61286,1.13622,1.66356,0.00344,0.000868,0.000868,0.000868
6,105.482,1.30382,1.5708,0.0034,0.90547,0.87491,0.93523,0.61974,1.11786,1.43205,0.00345,0.000835,0.000835,0.000835
7,120.065,1.24387,1.43907,0.00328,0.92007,0.87615,0.93591,0.50253,1.58822,1.41295,0.00456,0.000802,0.000802,0.000802
8,134.597,1.22932,1.3254,0.0032,0.934,0.88805,0.94847,0.58255,1.2378,1.15963,0.00369,0.000769,0.000769,0.000769
9,148.805,1.20191,1.19069,0.00313,0.92769,0.90038,0.95536,0.67047,1.06055,0.99695,0.00317,0.000736,0.000736,0.000736
10,163.365,1.21032,1.12083,0.00313,0.94089,0.90488,0.96089,0.63844,1.12509,0.96879,0.00355,0.000703,0.000703,0.000703
11,177.766,1.17835,1.03454,0.00306,0.94478,0.90618,0.9644,0.6794,1.04969,0.85766,0.00312,0.00067,0.00067,0.00067
12,192.194,1.19679,1.01398,0.00316,0.95417,0.90904,0.96657,0.67757,1.12395,0.82089,0.0034,0.000637,0.000637,0.000637
13,206.736,1.24174,0.99616,0.00321,0.94365,0.91171,0.96344,0.62971,1.21555,0.82027,0.0036,0.000604,0.000604,0.000604
14,221.15,1.12167,0.91245,0.00292,0.95476,0.92823,0.97215,0.70855,1.00012,0.70597,0.00308,0.000571,0.000571,0.000571
15,235.581,1.10875,0.8818,0.00287,0.94878,0.91007,0.96176,0.53179,1.4519,0.84137,0.00424,0.000538,0.000538,0.000538
16,250.038,1.10062,0.84689,0.00283,0.95431,0.90786,0.97236,0.65645,1.19535,0.68422,0.00371,0.000505,0.000505,0.000505
17,264.456,1.1299,0.83984,0.00289,0.93294,0.90875,0.95592,0.48572,1.68007,0.82776,0.00489,0.000472,0.000472,0.000472
18,278.782,1.08283,0.78221,0.00274,0.96437,0.92504,0.97901,0.74654,0.89779,0.58078,0.00273,0.000439,0.000439,0.000439
19,293.106,1.07569,0.78399,0.00278,0.96098,0.92504,0.97697,0.65279,1.10243,0.61674,0.00322,0.000406,0.000406,0.000406
20,307.365,1.1084,0.78907,0.00286,0.90405,0.85658,0.88534,0.26499,2.53288,1.07728,0.00757,0.000373,0.000373,0.000373
21,322.151,1.06386,0.66352,0.00323,0.95575,0.91711,0.97203,0.57175,1.44532,0.67443,0.00421,0.00034,0.00034,0.00034
22,335.924,0.95762,0.61872,0.00287,0.96166,0.92039,0.97674,0.62135,1.34381,0.62776,0.00393,0.000307,0.000307,0.000307
23,349.619,0.95338,0.58489,0.00287,0.94861,0.94387,0.97888,0.72992,0.92481,0.52478,0.00273,0.000274,0.000274,0.000274
24,363.352,0.93075,0.56351,0.00279,0.9589,0.93016,0.98053,0.69008,1.0908,0.53491,0.00317,0.000241,0.000241,0.000241
25,377.066,0.90503,0.5586,0.00276,0.9497,0.93969,0.98033,0.72116,0.95447,0.49829,0.00281,0.000208,0.000208,0.000208
26,390.698,0.91203,0.54776,0.00275,0.96465,0.93369,0.98136,0.66565,1.20909,0.56945,0.00349,0.000175,0.000175,0.000175
27,404.522,0.90571,0.53314,0.00274,0.97016,0.92905,0.98127,0.71372,1.004,0.49633,0.00293,0.000142,0.000142,0.000142
28,418.252,0.89015,0.53278,0.00268,0.97376,0.9252,0.98241,0.70202,1.02606,0.49372,0.00299,0.000109,0.000109,0.000109
